timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,smooth_accel_z,1.460851607,0.000000001,smooth_mag_x,smooth_mag_y,alpha,standard deviation,smooth_gyro_z
4.70539E+12,-0.7442932,2.8121033,7.8940125,0.10812378,-0.32965088,0.094192505,19.360352,6.7581177,-50.24414,8.823702086,10.5504258,4705.391092,19.83344987,6.303103501,BLANK,0.520931008,-0.044156718
4.7054E+12,-0.67674255,2.8379364,8.168396,0.0592041,-0.3640747,0.1081543,19.360352,6.7581177,-50.24414,8.790936782,10.5504258,4705.396127,19.80979498,6.325854211,BLANK,0.520931008,-0.036541167
4.7054E+12,-0.65200806,2.8126068,8.598846,0.018585205,-0.38417053,0.11567688,18.190002,5.0872803,-50.531006,8.781332243,10.5504258,4705.401163,19.72880533,6.263925515,BLANK,0.520931008,-0.028930265
4.70541E+12,-0.63442993,2.7051697,8.907166,-0.010742188,-0.39523315,0.12173462,18.190002,5.0872803,-50.531006,8.787623931,10.5504258,4705.406198,19.65186516,6.205093255,BLANK,0.520931008,-0.021397021
4.70541E+12,-0.52601624,2.6207123,9.101822,-0.03236389,-0.39227295,0.1257019,18.190002,5.0872803,-50.531006,8.803333834,10.5504258,4705.411233,19.578772,6.149202607,BLANK,0.520931008,-0.014042075
4.70542E+12,-0.37876892,2.6653748,9.140457,-0.04598999,-0.3713684,0.1335907,18.190002,5.0872803,-50.531006,8.820189992,10.5504258,4705.416269,19.5093335,6.096106491,BLANK,0.520931008,-0.006660436
4.70542E+12,-0.26315308,2.739441,9.14798,-0.05583191,-0.33035278,0.14312744,17.977905,4.446411,-50.74005,8.836579493,10.5504258,4705.421304,19.43276208,6.013621717,BLANK,0.520931008,0.000828958
4.70543E+12,-0.066711426,2.8613281,9.090851,-0.066604614,-0.27201843,0.15022278,17.977905,4.446411,-50.74005,8.849293068,10.5504258,4705.42634,19.36001922,5.935261181,BLANK,0.520931008,0.008298649
4.70543E+12,0.05886841,2.9611511,9.061707,-0.08239746,-0.20796204,0.15299988,17.977905,4.446411,-50.74005,8.859913765,10.5504258,4705.431375,19.29091351,5.860818672,BLANK,0.520931008,0.015533711
4.70544E+12,0.2548828,3.0224304,9.052124,-0.10151672,-0.14916992,0.14805603,17.977905,4.446411,-50.74005,8.869524277,10.5504258,4705.43641,19.22526309,5.790098288,BLANK,0.520931008,0.022159827
