timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,Smooth Mag,smooth_mag_x,smooth_mag_y,smooth_mag_z,0.000000001,Rad/sec * seconds,1.359228818,Standard Deviation Gyro,
7.20551E+12,-1.1274719,-0.2098999,9.676544,0.001449585,-0.00378418,7.17E-04,6.2286377,3.8406372,-45.12329,BLANK,6.758941243,3.663530032,-45.3328837,7205.512194,6.14E+02,35194.69804,1.359228818,-1.359228818
7.20552E+12,-1.4042816,-0.26145935,9.656128,0.001480103,-0.003189087,0.00177002,6.2286377,3.8406372,-45.12329,BLANK,6.732426066,3.672385391,-45.32240402,7205.517229,6.16E+02,35283.3297,1.359228818,-1.359228818
7.20552E+12,-0.6339264,-0.022659302,9.626968,0.001998901,1.53E-05,0.026367188,6.2286377,3.8406372,-45.12329,BLANK,6.707236648,3.680797981,-45.31244832,7205.522264,6.17E+02,35374.801,1.359228818,-1.359228818
7.20553E+12,-0.6625519,-0.08345032,9.616592,0.001998901,9.46E-04,0.089416504,6.161499,3.3355713,-45.05768,BLANK,6.679949765,3.663536647,-45.2997099,7205.5273,6.19E+02,35473.58187,1.359228818,-1.359228818
7.20553E+12,-0.6888733,-0.14118958,9.716904,0.002624512,-0.003219605,0.13755798,6.161499,3.3355713,-45.05768,BLANK,6.654027227,3.64713838,-45.28760841,7205.532335,6.21E+02,35577.99782,1.359228818,-1.359228818
7.20554E+12,-0.40338135,-0.12362671,9.650574,0.001739502,-0.002731323,0.16893005,6.161499,3.3355713,-45.05768,BLANK,6.629400816,3.631560026,-45.27611199,7205.537371,6.23E+02,35686.14079,1.359228818,-1.359228818
7.20554E+12,-0.3092804,0.051483154,9.5143585,-4.43E-04,-4.27E-04,0.21862793,6.161499,3.3355713,-45.05768,BLANK,6.606005725,3.616760589,-45.26519039,7205.542406,6.25E+02,35800.17391,1.359228818,-1.359228818
7.20555E+12,-0.22613525,0.17132568,9.6358185,2.14E-04,-3.05E-05,0.2587738,6.0562134,3.2302856,-44.955444,BLANK,6.578516109,3.59743684,-45.24970307,7205.547441,6.27E+02,35919.02409,1.359228818,-1.359228818
7.20555E+12,-0.20140076,0.11932373,9.627396,0.001602173,0.00201416,0.27635193,6.0562134,3.2302856,-44.955444,BLANK,6.552400973,3.579079278,-45.23499011,7205.552477,6.29E+02,36040.08262,1.359228818,-1.359228818
7.20556E+12,-0.11843872,-0.067092896,9.690338,0.001251221,0.004638672,0.27833557,6.0562134,3.2302856,-44.955444,BLANK,6.527591595,3.561639594,-45.22101281,7205.557512,6.31E+02,36161.53352,1.359228818,-1.359228818
