timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,Apply Exponentially Weighted Smoothing to accel data,smooth_accel_x,smooth_accel_y,smooth_accel_z,Alpha,
8.05392E+12,-0.8831787,1.5082397,9.011398,-0.40220642,0.077041626,-0.19204712,,,,0,-0.8831787,1.5082397,9.011398,0.05,11.04681279
8.05393E+12,-0.8596344,1.4969177,9.453842,0,0,0,0,0,0,0,-0.882001485,1.5076736,9.0335202,,2.146813
8.05393E+12,-0.83891296,1.5108337,9.847977,-0.39190674,-0.110809326,-0.12762451,0,0,0,0,-0.879847059,1.507831605,9.07424304,,2.146813
8.05394E+12,-0.7720337,1.5320892,10.237396,-0.3499756,-0.206604,-0.09901428,0,0,0,0,-0.874456391,1.509044485,9.132400688,,2.146813
8.05394E+12,-0.6839752,1.5334015,10.469177,-0.28562927,-0.30274963,-0.07376099,0,0,0,0,-0.864932331,1.510262336,9.199239504,,2.146813
8.05395E+12,-0.5698395,1.5628967,10.542496,-0.20578003,-0.3798523,-0.051254272,17.042542,-22.981262,-46.696472,0,-0.85017769,1.512894054,9.266402328,,2.146813
8.05395E+12,-0.4427948,1.6008148,10.506271,-0.12515259,-0.4249115,-0.030838013,17.042542,-22.981262,-46.696472,0,-0.829808545,1.517290091,9.328395762,,2.146813
8.05396E+12,-0.29522705,1.6530457,10.525314,-0.05317688,-0.44158936,-0.01576233,17.042542,-22.981262,-46.696472,0,-0.80307947,1.524077871,9.388241674,,2.146813
8.05396E+12,-0.20280457,1.7217102,10.41246,1.53E-05,-0.43232727,-0.007354736,17.042542,-22.981262,-46.696472,0,-0.773065725,1.533959488,9.43945259,,2.146813
8.05397E+12,-0.18074036,1.7626495,10.265701,0.0332489,-0.39883423,-0.004882813,17.385864,-22.398376,-47.373962,0,-0.743449457,1.545393989,9.480765011,,2.146813
8.05397E+12,-0.17501831,1.758728,10.013504,0.051971436,-0.3382721,-0.007019043,17.385864,-22.398376,-47.373962,0,-0.7150279,1.556060689,9.50740196,,2.146813
8.05398E+12,-0.22473145,1.7465363,9.848373,0.04899597,-0.2582245,-0.010345459,17.385864,-22.398376,-47.373962,0,-0.690513077,1.56558447,9.524450512,,2.146813
8.05398E+12,-0.2800598,1.7424469,9.723907,0.02810669,-0.16807556,-0.012741089,17.385864,-22.398376,-47.373962,0,-0.669990413,1.574427591,9.534423337,,2.146813
8.05399E+12,-0.33137512,1.7545166,9.666809,-0.010513306,-0.07249451,-0.014938355,17.61322,-22.398376,-47.595215,0,-0.653059649,1.583432042,9.54104262,,2.146813
8.05399E+12,-0.36558533,1.7702332,9.627258,-0.055603027,0.018676758,-0.016174316,17.61322,-22.398376,-47.595215,0,-0.638685933,1.5927721,9.545353389,,2.146813
8.054E+12,-0.42549133,1.7578278,9.65741,-0.09609985,0.094192505,-0.014541626,17.61322,-22.398376,-47.595215,0,-0.628026203,1.601024885,9.550956219,,2.146813
8.054E+12,-0.4374237,1.8215485,9.710388,-0.1352539,0.16459656,-0.013214111,17.61322,-22.398376,-47.595215,0,-0.618496078,1.612051065,9.558927808,,2.146813
8.05401E+12,-0.42860413,1.8254089,9.697159,-0.1605072,0.21446228,-0.01008606,17.738342,-21.520996,-47.473145,0,-0.60900148,1.622718957,9.565839368,,2.146813
8.05401E+12,-0.4001007,1.7736816,9.656677,-0.17114258,0.2429657,-0.005767822,17.738342,-21.520996,-47.473145,0,-0.598556441,1.630267089,9.57038125,,2.146813
8.05402E+12,-0.41374207,1.7349701,9.5243225,-0.16722107,0.25224304,-0.00352478,17.738342,-21.520996,-47.473145,0,-0.589315723,1.63550224,9.568078312,,2.146813
8.05402E+12,-0.39105225,1.7372437,9.447128,-0.16722107,0.25224304,-0.00352478,17.738342,-21.520996,-47.473145,0,-0.579402549,1.640589313,9.562030796,,2.146813
8.05403E+12,-0.35739136,1.77388,9.475662,-0.1326294,0.23054504,0.00378418,16.896057,-21.57898,-47.055054,0,-0.56830199,1.647253847,9.557712357,,2.146813
8.05403E+12,-0.29377747,1.8266754,9.355621,-0.10903931,0.20117188,0.008514404,16.896057,-21.57898,-47.055054,0,-0.554575764,1.656224925,9.547607789,,2.146813
8.05404E+12,-0.30464172,1.8654785,9.150391,-0.08392334,0.16690063,0.012863159,16.896057,-21.57898,-47.055054,0,-0.542079061,1.666687604,9.527746949,,2.146813
8.05404E+12,-0.28115845,1.8531647,9.071808,-0.057876587,0.12583923,0.01701355,16.583252,-21.711731,-46.925354,0,-0.529033031,1.676011458,9.504950002,,2.146813
8.05405E+12,-0.245224,1.9297333,8.981522,-0.034225464,0.0793457,0.01878357,16.583252,-21.711731,-46.925354,0,-0.514842579,1.68869755,9.478778602,,2.146813
8.05405E+12,-0.19859314,1.9507294,8.752197,-0.014633179,0.02961731,0.017715454,16.583252,-21.711731,-46.925354,0,-0.499030107,1.701799143,9.442449522,,2.146813
8.05406E+12,-0.16789246,2.0205994,8.614548,-0.002105713,-0.019241333,0.016098022,16.583252,-21.711731,-46.925354,0,-0.482473225,1.717739156,9.401054446,,2.146813
8.05406E+12,-0.17100525,2.014267,8.6094055,0.003509522,-0.07763672,0.008468628,16.583252,-21.711731,-47.192383,0,-0.466899826,1.732565548,9.361471998,,2.146813
8.05407E+12,-0.19384766,2.0135956,8.657455,0.006698608,-0.13664246,-0.001373291,16.583252,-21.711731,-47.192383,0,-0.453247218,1.746617051,9.326271148,,2.146813
8.05407E+12,-0.18836975,1.9554901,8.725494,0.00428772,-0.19024658,-0.011749268,16.583252,-21.711731,-47.192383,0,-0.440003344,1.757060703,9.296232291,,2.146813
8.05408E+12,-0.20347595,1.8810883,8.865036,-0.002822876,-0.23808289,-0.023727417,16.583252,-21.711731,-47.192383,0,-0.428176975,1.763262083,9.274672476,,2.146813
8.05408E+12,-0.2722168,1.8397522,9.066559,-0.011077881,-0.27781677,-0.034057617,15.892029,-21.298218,-46.855164,0,-0.420378966,1.767086589,9.264266803,,2.146813
8.05409E+12,-0.30439758,1.8084259,9.238464,-0.018676758,-0.3115387,-0.03981018,15.892029,-21.298218,-46.855164,0,-0.414579897,1.769153554,9.262976662,,2.146813
8.05409E+12,-0.29795837,1.7694092,9.418564,-0.02619934,-0.33700562,-0.04411316,15.892029,-21.298218,-46.855164,0,-0.40874882,1.769166337,9.270756029,,2.146813
8.0541E+12,-0.30342102,1.7147522,9.544174,-0.03024292,-0.35131836,-0.045837402,15.892029,-21.298218,-46.855164,0,-0.40348243,1.76644563,9.284426928,,2.146813
8.0541E+12,-0.2843933,1.6171722,9.716888,-0.034057617,-0.35295105,-0.04475403,15.725708,-21.195984,-46.757507,0,-0.397527974,1.758981958,9.306049982,,2.146813
8.05411E+12,-0.2501068,1.5673065,9.974304,-0.03515625,-0.34243774,-0.042770386,15.725708,-21.195984,-46.757507,0,-0.390156915,1.749398185,9.339462682,,2.146813
8.05411E+12,-0.2136383,1.5428925,10.178711,-0.034500122,-0.32395935,-0.03831482,15.725708,-21.195984,-46.757507,0,-0.381330984,1.739072901,9.381425098,,2.146813
8.05412E+12,-0.21873474,1.5780487,10.270828,-0.02734375,-0.29830933,-0.03186035,15.725708,-21.195984,-46.757507,0,-0.373201172,1.731021691,9.425895243,,2.146813
8.05412E+12,-0.23078918,1.6338043,10.272614,-0.011077881,-0.2642975,-0.024490356,15.725708,-22.691345,-47.340393,0,-0.366080573,1.726160821,9.468231181,,2.146813
8.05413E+12,-0.28147888,1.6585846,10.164749,0.008056641,-0.2260437,-0.01789856,15.725708,-22.691345,-47.340393,0,-0.361850488,1.72278201,9.503057072,,2.146813
